0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.582575798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.123105526,5.567764282,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.385164738,5.099019527,5.830951691,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4.123105526,5.385164738,3.464101553,5.656854153,0,,,,,,,,,,,,,,,,,,,,,,,,,
5.656854153,4.472136021,6.244997978,5.567764282,6,0,,,,,,,,,,,,,,,,,,,,,,,,
4,5.47722578,4.358899117,5.744562626,4.242640495,5.47722578,0,,,,,,,,,,,,,,,,,,,,,,,
4.358899117,5.47722578,4.472136021,5.47722578,4.472136021,5.744562626,4,0,,,,,,,,,,,,,,,,,,,,,,
4.358899117,5,4.898979664,5.385164738,4.472136021,5.291502476,4.123105526,4.79583168,0,,,,,,,,,,,,,,,,,,,,,
4.690415859,5.567764282,5.099019527,5.567764282,5,5.744562626,4.242640495,4.242640495,4,0,,,,,,,,,,,,,,,,,,,,
5,5.19615221,5.291502476,5.567764282,5.19615221,5.656854153,4.79583168,4.358899117,4.242640495,2.828427076,0,,,,,,,,,,,,,,,,,,,
4.472136021,5.291502476,4.898979664,5.47722578,5.099019527,5.47722578,4.582575798,5,3.872983456,4.242640495,4.123105526,0,,,,,,,,,,,,,,,,,,
4.472136021,4.898979664,4.79583168,4.690415859,4.898979664,5.916079998,5.099019527,5,5.291502476,5.291502476,5.19615221,5.47722578,0,,,,,,,,,,,,,,,,,
4.898979664,5.830951691,4.358899117,5.830951691,4.898979664,5.916079998,4.690415859,4,4.690415859,4.79583168,5.19615221,4.79583168,5.385164738,0,,,,,,,,,,,,,,,,
4.690415859,5.099019527,4.690415859,5.385164738,4.582575798,5.830951691,4.79583168,4.690415859,5,5.099019527,5,5,4.242640495,5.099019527,0,,,,,,,,,,,,,,,
4.358899117,5.19615221,4.582575798,5.656854153,4.898979664,5.830951691,5.19615221,4.690415859,4.472136021,4.582575798,4.898979664,4.123105526,5.291502476,3.872983456,5.19615221,0,,,,,,,,,,,,,,
4.582575798,5.744562626,4.242640495,5.916079998,5,6.164413929,5.291502476,5.291502476,5.099019527,4.898979664,5.19615221,4.690415859,5.385164738,4.79583168,5.567764282,4.123105526,0,,,,,,,,,,,,,
4.898979664,5.830951691,4.79583168,6.082762718,5.291502476,6.324555397,5.656854153,5.47722578,5.385164738,4.898979664,5.19615221,5.099019527,5.291502476,4.898979664,5.656854153,4.358899117,2.449489832,0,,,,,,,,,,,,
4.472136021,5.567764282,4.472136021,5.744562626,5.099019527,5.916079998,5,4.898979664,4.690415859,4.123105526,4.242640495,4.242640495,5.291502476,4.472136021,5.385164738,4,2.828427076,2.23606801,0,,,,,,,,,,,
4.690415859,5.744562626,4.123105526,5.916079998,5.291502476,6.164413929,4.898979664,4.358899117,5.291502476,4.79583168,4.690415859,4.79583168,5.19615221,4.582575798,5,4.582575798,4.79583168,4.79583168,3.872983456,0,,,,,,,,,,
4.472136021,5.656854153,4.123105526,5.830951691,4.898979664,6.082762718,5.19615221,5.19615221,5,4.582575798,5,4.472136021,5.19615221,4.582575798,5.47722578,3.741657495,1.414213538,2.23606801,2.645751238,4.690415859,0,,,,,,,,,
6,5.656854153,5.744562626,5.830951691,6.082762718,6.244997978,5.916079998,5.830951691,5.47722578,5.567764282,5.47722578,5.47722578,5.830951691,5.830951691,5.830951691,5.830951691,6.082762718,6.164413929,5.656854153,5.916079998,6,0,,,,,,,,
4.582575798,5.47722578,4.242640495,5.656854153,4.898979664,5.916079998,5.099019527,4.582575798,4.582575798,4.242640495,4.358899117,4.123105526,5.19615221,4.358899117,5.385164738,3.605551243,3.605551243,3.464101553,2.645751238,3.31662488,3.464101553,5.656854153,0,,,,,,,
4.472136021,5.291502476,4.690415859,5.656854153,4.472136021,5.744562626,4.358899117,4.898979664,3.872983456,4.123105526,4.472136021,4.358899117,5.385164738,5,5.385164738,4.472136021,4.242640495,4.358899117,3.872983456,4.79583168,4.123105526,6.082762718,3.872983456,0,,,,,,
4.690415859,5.916079998,5.291502476,5.567764282,5.567764282,6.082762718,5,4.690415859,4.898979664,3.872983456,4.472136021,4.898979664,5.47722578,5.19615221,5.19615221,5,4.472136021,4.582575798,3.741657495,4.582575798,4.358899117,6.082762718,4.123105526,4.582575798,0,,,,,
5.19615221,5.916079998,5.19615221,6.164413929,5.656854153,6.244997978,5.567764282,5.567764282,5,4.242640495,4.472136021,4.79583168,5.656854153,5.099019527,5.830951691,4.358899117,3.872983456,3.464101553,2.449489832,4.472136021,3.741657495,6,3.31662488,4.242640495,4.242640495,0,,,,
5,5.916079998,5.291502476,5.385164738,5.744562626,6.082762718,5.830951691,5.567764282,5.916079998,5.744562626,5.830951691,5.385164738,4.358899117,5.385164738,5.385164738,5.19615221,5.291502476,5.19615221,5,5.385164738,5.099019527,5.656854153,5.291502476,6,5.916079998,5.567764282,0,,,
4.358899117,5.19615221,4.242640495,5.19615221,5,5.744562626,4.898979664,4.690415859,5.099019527,5.385164738,5.385164738,4.79583168,4.898979664,4.898979664,5.099019527,4.472136021,5,5.291502476,4.79583168,4.582575798,4.898979664,5.656854153,4.79583168,4.898979664,5.656854153,5.291502476,5.19615221,0,,
4.79583168,5.291502476,5.47722578,6.082762718,5.916079998,6.164413929,5.291502476,5.567764282,5,4.690415859,5.291502476,4.690415859,5.291502476,5.19615221,5.830951691,5,5.830951691,5.830951691,5.19615221,5.567764282,5.567764282,5.656854153,4.898979664,5.567764282,5.656854153,5.385164738,5.656854153,4.898979664,0,
4,4.690415859,4.79583168,5.744562626,4.79583168,5.830951691,4.582575798,5,4.472136021,5.099019527,5.19615221,4.79583168,4.472136021,5.567764282,5,4.690415859,5.47722578,5.656854153,5.385164738,5.385164738,5.291502476,6,5.19615221,4.898979664,5.744562626,5.291502476,5.567764282,4.358899117,4.358899117,0
