"matchGroup","nMatchGroup","focalIndex","comparisonIndex","matchThreshold","score","CXX.402","CXX.402.2","AHT.142","AHT.142.2","REN105L03","REN105L03.2","CPH18","CPH18.2","CPH8","CPH8.2","REN54P11","REN54P11.2","RF2001Fam","RF2001Fam.2","RFcph.2.2","RFcph.2","fh2088","fh2088.2","REN162C04","REN162C04.2","AHTh171","AHTh171.2","INU055","INU055.2","fh2010","fh2010.2","fh2004","fh2004.2"
"1","2","F16-048","F16-048","0.928571428571429","1","78","78","130","132","154","160","168","178","174","174","210","216","216","220","84","84","104","108","174","174","172","172","212","216","222","222","260","260"
"1","2","F16-048","F16-049","0.928571428571429","0.93","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","174","174","172","172","212","216","222","222","260","260"
"2","4","F16-049","F16-049","0.928571428571429","1","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","174","174","172","172","212","216","222","222","260","260"
"2","4","F16-049","F16-106","0.928571428571429","0.96","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","260","260"
"2","4","F16-049","F16-048","0.928571428571429","0.93","78","78","130","132","154","160","168","178","174","174","210","216","216","220","84","84","104","108","174","174","172","172","212","216","222","222","260","260"
"2","4","F16-049","F16-105","0.928571428571429","0.93","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","242","260"
"3","1","F16-063","F16-063","0.928571428571429","1","78","78","130","130","162","164","168","180","172","174","206","214","216","220","84","84","104","108","174","190","158","170","218","222","218","218","246","260"
"4","1","F16-066","F16-066","0.928571428571429","1","80","80","132","132","154","154","170","172","174","174","206","206","216","220","84","84","104","112","176","176","158","164","214","222","222","222","242","260"
"5","2","F16-081","F16-081","0.928571428571429","1","76","76","130","132","160","162","174","178","174","174","206","206","216","220","84","84","104","112","176","176","158","170","212","216","218","222","246","260"
"5","2","F16-081","F16-135","0.928571428571429","0.96","76","76","130","132","160","162","174","178","174","174","206","206","216","220","84","84","104","112","158","176","158","170","212","216","218","222","246","260"
"6","4","F16-086","F16-086","0.928571428571429","1","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"6","4","F16-086","F16-087","0.928571428571429","1","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"6","4","F16-086","F16-138","0.928571428571429","0.96","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"6","4","F16-086","F16-139","0.928571428571429","0.93","78","80","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"7","4","F16-087","F16-086","0.928571428571429","1","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"7","4","F16-087","F16-087","0.928571428571429","1","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"7","4","F16-087","F16-138","0.928571428571429","0.96","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"7","4","F16-087","F16-139","0.928571428571429","0.93","78","80","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"8","1","F16-095","F16-095","0.928571428571429","1","78","78","122","132","166","170","178","178","174","174","204","212","216","220","84","84","104","108","176","176","158","174","214","216","218","222","260","260"
"9","3","F16-105","F16-105","0.928571428571429","1","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","242","260"
"9","3","F16-105","F16-106","0.928571428571429","0.96","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","260","260"
"9","3","F16-105","F16-049","0.928571428571429","0.93","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","174","174","172","172","212","216","222","222","260","260"
"10","3","F16-106","F16-106","0.928571428571429","1","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","260","260"
"10","3","F16-106","F16-049","0.928571428571429","0.96","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","174","174","172","172","212","216","222","222","260","260"
"10","3","F16-106","F16-105","0.928571428571429","0.96","78","78","130","132","154","160","168","178","174","174","210","216","220","220","84","84","108","108","158","174","172","172","212","216","222","222","242","260"
"11","1","F16-115","F16-115","0.928571428571429","1","78","80","130","130","162","164","168","180","172","174","206","214","216","220","86","86","104","108","174","190","158","170","218","222","218","218","246","260"
"12","1","F16-119b","F16-119b","0.928571428571429","1","78","80","132","132","154","154","170","172","174","174","206","212","216","220","84","86","104","108","176","176","170","172","216","218","222","222","246","260"
"13","1","F16-121","F16-121","0.928571428571429","1","78","78","132","132","160","162","168","178","174","174","204","204","220","220","84","84","104","108","174","176","158","172","210","210","222","222","246","246"
"14","1","F16-126","F16-126","0.928571428571429","1","78","78","130","132","154","162","178","178","174","174","206","212","216","220","84","84","104","108","176","176","170","172","216","218","222","222","246","260"
"15","1","F16-128","F16-128","0.928571428571429","1","78","78","132","140","160","162","170","178","174","174","206","216","220","220","84","86","104","108","176","186","172","172","216","216","218","222","242","260"
"16","2","F16-135","F16-135","0.928571428571429","1","76","76","130","132","160","162","174","178","174","174","206","206","216","220","84","84","104","112","158","176","158","170","212","216","218","222","246","260"
"16","2","F16-135","F16-081","0.928571428571429","0.96","76","76","130","132","160","162","174","178","174","174","206","206","216","220","84","84","104","112","176","176","158","170","212","216","218","222","246","260"
"17","1","F16-136","F16-136","0.928571428571429","1","78","78","132","140","160","166","172","172","174","174","208","210","220","220","84","84","104","108","176","186","170","170","222","222","222","222","242","246"
"18","4","F16-138","F16-138","0.928571428571429","1","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"18","4","F16-138","F16-086","0.928571428571429","0.96","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"18","4","F16-138","F16-087","0.928571428571429","0.96","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"18","4","F16-138","F16-139","0.928571428571429","0.96","78","80","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"19","4","F16-139","F16-139","0.928571428571429","1","78","80","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"19","4","F16-139","F16-138","0.928571428571429","0.96","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","86","100","108","170","174","170","170","210","218","222","222","260","260"
"19","4","F16-139","F16-086","0.928571428571429","0.93","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"19","4","F16-139","F16-087","0.928571428571429","0.93","78","78","132","132","162","164","178","180","174","174","212","214","216","220","84","84","100","108","170","174","170","170","210","218","222","222","260","260"
"20","3","F16-146","F16-146","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"20","3","F16-146","F16-148","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"20","3","F16-146","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-146","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-148","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"21","3","F16-148","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-146","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-148","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"22","3","F16-151","F16-151","0.928571428571429","1","78","78","130","134","160","164","178","178","174","174","204","206","220","224","84","84","104","108","176","176","158","172","220","220","222","222","242","260"
"23","2","F16-152","F16-152","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"23","2","F16-152","F16-153","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"24","2","F16-153","F16-152","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"24","2","F16-153","F16-153","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"25","2","F16-166","F16-166","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"25","2","F16-166","F16-167","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"26","2","F16-167","F16-166","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"26","2","F16-167","F16-167","0.928571428571429","1","78","78","132","132","154","154","164","168","174","174","206","206","220","220","84","84","104","104","176","176","158","160","212","212","218","222","242","260"
"27","1","F16-171","F16-171","0.928571428571429","1","78","78","132","140","150","154","168","178","172","174","206","210","216","216","86","86","104","104","174","190","172","172","216","222","218","222","260","260"
"28","1","F16-177","F16-177","0.928571428571429","1","78","78","128","132","164","166","172","178","174","174","204","210","220","226","76","84","108","108","176","176","158","158","210","220","222","226","260","260"
"29","1","F16-184","F16-184","0.928571428571429","1","78","80","124","132","154","160","178","180","174","174","204","216","216","220","84","84","104","108","176","176","170","174","210","222","218","222","260","260"
"30","1","F16-188","F16-188","0.928571428571429","1","78","78","132","132","150","162","168","178","174","174","214","218","220","220","76","84","104","108","174","176","170","170","220","222","218","222","246","260"
"31","1","F16-196","F16-196","0.928571428571429","1","78","78","126","130","160","168","168","178","174","174","214","218","220","220","84","84","104","108","174","176","170","172","210","222","222","226","242","262"
"32","1","F16-197","F16-197","0.928571428571429","1","78","78","128","132","154","160","168","172","174","174","206","210","220","220","84","84","104","108","176","176","172","174","220","222","222","226","260","260"
"33","2","F16-212","F16-212","0.928571428571429","1","80","80","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"33","2","F16-212","F16-215b","0.928571428571429","0.93","78","78","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"34","2","F16-215b","F16-215b","0.928571428571429","1","78","78","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"34","2","F16-215b","F16-212","0.928571428571429","0.93","80","80","130","132","160","166","168","178","178","184","206","214","216","220","84","84","104","112","170","190","158","162","218","222","218","226","242","260"
"35","1","F16-219","F16-219","0.928571428571429","1","78","78","124","132","162","162","168","176","174","174","210","218","220","220","84","84","104","108","174","176","170","172","220","220","222","222","242","260"
"36","1","F16-220","F16-220","0.928571428571429","1","78","80","124","132","162","164","178","178","174","174","216","218","216","220","84","84","104","108","176","184","160","170","210","222","218","222","246","260"
"37","1","F16-224","F16-224","0.928571428571429","1","78","78","124","132","164","166","170","180","174","174","208","214","216","220","84","84","100","108","176","176","158","158","220","222","222","226","246","260"
"38","3","F16-227","F16-227","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"38","3","F16-227","F16-232","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"38","3","F16-227","F16-234","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"39","1","F16-230","F16-230","0.928571428571429","1","78","78","124","130","160","162","164","178","174","174","208","208","212","220","84","84","104","108","176","176","158","174","212","216","218","222","260","260"
"40","3","F16-232","F16-227","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"40","3","F16-232","F16-232","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"40","3","F16-232","F16-234","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"41","3","F16-234","F16-227","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"41","3","F16-234","F16-232","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"41","3","F16-234","F16-234","0.928571428571429","1","78","78","124","132","160","160","172","176","174","174","208","212","220","220","84","84","104","108","174","190","160","170","222","222","218","222","242","260"
"42","1","F16-237b","F16-237b","0.928571428571429","1","78","78","130","132","162","166","168","174","174","174","208","210","216","216","84","84","104","112","176","176","158","158","210","216","218","222","246","260"
"43","1","F16-241","F16-241","0.928571428571429","1","78","80","130","132","160","162","168","178","174","174","206","210","216","220","84","86","108","108","176","176","172","172","214","218","222","226","260","260"
"44","1","F16-244","F16-244","0.928571428571429","1","78","78","128","132","150","162","176","180","174","174","210","216","220","224","84","84","100","104","176","176","158","158","210","222","222","226","242","260"
"45","1","F16-249","F16-249","0.928571428571429","1","78","78","132","140","160","160","168","178","174","174","204","208","220","220","86","86","104","112","176","180","158","170","212","216","222","226","260","260"
"46","1","F16-264","F16-264","0.928571428571429","1","80","80","132","132","162","166","178","178","174","174","204","214","220","224","86","86","100","100","176","190","172","174","210","222","218","222","242","260"
"47","1","F16-275b","F16-275b","0.928571428571429","1","78","78","132","132","160","164","178","178","174","184","212","216","220","220","84","86","104","108","174","174","158","172","212","222","222","226","242","246"
"48","1","F16-277b","F16-277b","0.928571428571429","1","78","78","130","132","154","164","168","168","184","184","212","216","224","224","84","86","104","108","174","174","158","160","214","222","222","222","242","260"
"49","1","F16-279","F16-279","0.928571428571429","1","78","78","132","132","166","168","178","178","174","174","208","210","216","216","84","84","104","104","174","174","158","172","220","222","222","222","260","260"
"50","1","F16-285b","F16-285b","0.928571428571429","1","78","78","128","132","162","162","170","178","174","174","210","216","216","220","84","84","104","108","176","184","166","170","218","222","222","222","242","262"
"51","1","F16-193","F16-193","0.928571428571429","1","78","78","126","140","162","164","168","178","174","176","210","212","216","220","84","84","104","104","176","176","172","172","210","222","218","222","242","-99"
"52","1","F16-034","F16-034","0.928571428571429","1","-99","-99","124","134","162","174","170","170","182","182","202","204","212","224","94","94","100","118","170","174","176","178","208","210","230","234","240","240"
"53","1","F16-038","F16-038","0.928571428571429","1","78","78","128","130","160","162","170","178","-99","-99","204","208","212","220","84","84","104","108","176","176","158","158","218","218","218","222","238","260"
"54","1","F16-156","F16-156","0.928571428571429","1","78","78","128","132","154","166","176","178","-99","-99","210","212","216","220","84","84","108","112","176","176","158","170","216","220","222","222","246","260"
"55","1","F16-160","F16-160","0.928571428571429","1","-99","-99","124","130","168","172","170","176","178","184","196","202","208","212","94","110","92","114","172","174","178","178","210","216","230","234","240","240"
"56","1","F16-161","F16-161","0.928571428571429","1","78","78","132","132","160","164","178","180","-99","-99","210","212","220","220","84","84","100","104","174","176","158","172","216","222","222","222","260","260"
"57","2","F16-168","F16-168","0.928571428571429","1","78","78","132","134","-99","-99","178","178","174","174","204","216","220","220","84","84","104","104","178","186","170","172","210","218","222","222","260","260"
"57","2","F16-168","F16-165","0.928571428571429","0.93","78","78","132","134","-99","-99","178","178","174","174","204","216","-99","-99","84","84","104","104","178","186","170","172","210","218","222","222","260","262"
"58","1","F16-187","F16-187","0.928571428571429","1","-99","-99","134","134","168","172","172","172","170","178","198","204","212","212","98","98","114","122","176","180","170","180","214","216","230","234","240","240"
"59","1","F16-222","F16-222","0.928571428571429","1","-99","-99","134","134","164","166","170","170","172","182","202","206","212","220","94","94","92","118","174","178","168","176","208","212","234","234","240","240"
"60","1","F16-243","F16-243","0.928571428571429","1","78","78","132","132","162","164","168","178","-99","-99","204","212","220","220","84","84","104","104","176","176","162","174","216","218","218","222","260","260"
"61","1","F16-252b","F16-252b","0.928571428571429","1","78","78","132","132","154","160","170","170","-99","-99","206","206","220","220","86","86","104","108","176","192","172","174","210","220","222","222","246","260"
"62","1","F16-258","F16-258","0.928571428571429","1","-99","-99","124","134","166","172","170","170","168","172","200","204","212","220","94","94","92","122","174","178","178","182","210","216","230","230","240","240"
"63","1","F16-263","F16-263","0.928571428571429","1","-99","-99","132","138","168","170","170","172","172","172","200","204","208","212","98","98","92","114","174","174","178","178","210","210","234","234","240","240"
"64","1","F16-302","F16-302","0.928571428571429","1","78","78","124","130","-99","-99","168","178","174","174","206","216","220","220","84","84","104","112","176","190","158","158","218","222","218","222","246","260"
"65","1","F16-158","F16-158","0.928571428571429","1","-99","-99","130","140","172","172","176","176","178","182","196","196","212","212","94","94","100","114","170","172","178","178","210","212","230","230","-99","-99"
"66","2","F16-165","F16-165","0.928571428571429","1","78","78","132","134","-99","-99","178","178","174","174","204","216","-99","-99","84","84","104","104","178","186","170","172","210","218","222","222","260","262"
"66","2","F16-165","F16-168","0.928571428571429","0.93","78","78","132","134","-99","-99","178","178","174","174","204","216","220","220","84","84","104","104","178","186","170","172","210","218","222","222","260","260"
"67","1","F16-002","F16-002","0.928571428571429","1","78","78","132","132","-99","-99","168","170","-99","-99","210","210","-99","-99","84","84","108","112","174","176","166","166","210","212","222","222","242","260"
"68","1","F16-118b","F16-118b","0.928571428571429","1","78","80","132","132","-99","-99","168","168","-99","-99","204","212","-99","-99","84","84","100","108","176","176","158","158","218","218","222","226","246","246"
"69","1","F16-127","F16-127","0.928571428571429","1","78","78","122","132","-99","-99","-99","-99","174","174","204","212","-99","-99","84","84","104","108","176","176","158","158","214","216","218","222","260","260"
"70","1","F16-140","F16-140","0.928571428571429","1","78","80","132","132","-99","-99","174","178","-99","-99","208","212","-99","-99","84","84","104","108","174","174","158","158","210","222","222","222","260","260"
"71","1","F16-206","F16-206","0.928571428571429","1","80","80","132","134","-99","-99","168","180","-99","-99","206","214","-99","-99","84","84","104","112","176","190","162","172","216","222","218","226","260","260"
"72","1","F16-269b","F16-269b","0.928571428571429","1","78","78","124","130","-99","-99","172","174","-99","-99","206","210","-99","-99","86","86","104","108","176","176","158","160","210","222","222","222","246","260"
"73","1","F16-271","F16-271","0.928571428571429","1","78","80","132","132","-99","-99","178","180","-99","-99","206","210","-99","-99","84","84","104","108","174","178","158","158","210","222","218","222","242","242"
"74","1","F16-272b","F16-272b","0.928571428571429","1","78","78","130","132","-99","-99","168","168","-99","-99","212","212","-99","-99","84","86","104","108","174","174","158","158","214","214","222","222","242","260"
"75","1","F16-325b","F16-325b","0.928571428571429","1","78","80","132","132","-99","-99","168","176","-99","-99","216","216","-99","-99","84","84","104","116","174","184","172","174","214","218","218","222","246","260"
"76","1","F16-154","F16-154","0.928571428571429","1","78","78","130","134","-99","-99","178","178","-99","-99","204","206","-99","-99","84","84","104","108","176","176","-99","-99","220","220","222","222","242","260"
"77","1","F16-308","F16-308","0.928571428571429","1","78","78","130","132","-99","-99","176","176","-99","-99","204","214","-99","-99","84","84","100","104","176","190","166","168","212","212","222","222","-99","-99"
"78","1","F16-150","F16-150","0.928571428571429","1","78","78","124","132","-99","-99","168","176","-99","-99","-99","-99","-99","-99","84","84","104","108","174","176","170","172","212","218","218","218","246","246"
"79","1","F16-235","F16-235","0.928571428571429","1","78","78","124","130","-99","-99","-99","-99","-99","-99","208","208","-99","-99","84","84","104","108","176","176","158","174","212","216","218","222","260","260"
